{i}, {x_center}, {y_center}, {width}, {height}, {confidence_i_found_a_thing}, {confidence_its_a_face},
2873, 304.8708, 317.7954, 323.5704, 330.3769, 340.9837, 349.4302,
2874, 360.4908, 362.7164, 368.1094, 378.4091, 385.184, 397.0481,
2875, 409.3277, 414.6246, 416.4232, 425.3688, 435.3917, 442.5756,
2876, 450.136, 459.03, 465.9656, 474.2658, 482.8057, 489.6958,
2877, 498.7835, 506.5914, 514.1619, 525.6343, 534.5192, 539.0812,
2878, 549.8404, 553.2737, 561.9326, 570.8346, 577.2011, 586.4957,
2879, 593.0505, 602.1729, 611.1556, 619.0667, 626.6648, 636.4722,
2880, 5.997065, 10.57855, 18.70697, 26.0854, 34.83296, 43.02431,
2881, 51.56723, 60.1973, 69.50963, 77.78052, 80.8364, 90.14509,
2882, 97.11292, 105.6127, 113.1906, 120.5743, 128.4853, 137.75,
2883, 146.6458, 154.0826, 162.2929, 173.1754, 178.387, 188.8926,
2884, 194.8431, 200.7919, 210.4703, 219.9386, 227.0332, 235.445,
2885, 242.6541, 252.5783, 259.2032, 263.3341, 276.4198, 281.6024,
2886, 288.116, 297.1727, 304.7905, 317.0863, 323.8859, 329.4685,
2887, 340.5996, 349.3089, 357.4773, 362.4332, 369.3525, 378.338,
2888, 385.3316, 397.6162, 408.6712, 415.8035, 419.2132, 426.1961,
2889, 435.4261, 443.2169, 450.8287, 458.741, 463.6611, 475.085,
2890, 482.5637, 490.3208, 503.2762, 507.8327, 512.9073, 521.8365,
2891, 533.8951, 539.6912, 549.6048, 553.7715, 559.0712, 568.1414,
2892, 584.0337, 588.0159, 591.7242, 600.6188, 613.7453, 621.1479,
2893, 626.8871, 637.2858, 5.402691, 10.75803, 19.03544, 25.99617,
2894, 34.24495, 42.41141, 52.9642, 60.60266, 68.79944, 77.99144,
2895, 80.74274, 90.04245, 97.10239, 105.4313, 113.271, 120.185,
2896, 128.1833, 137.5631, 146.1629, 153.8378, 162.8663, 172.066,
2897, 178.4527, 185.4393, 194.5269, 199.4891, 207.9586, 219.2834,
2898, 226.8457, 234.6365, 242.4062, 250.6682, 260.8051, 264.3766,
2899, 276.0017, 281.0484, 287.4634, 297.0852, 304.719, 314.3473,
2900, 324.3073, 330.5312, 338.47, 349.8794, 356.304, 361.158,
2901, 369.4952, 376.892, 385.2967, 397.9568, 406.5297, 415.0483,
2902, 419.8765, 427.3101, 435.637, 442.932, 451.2747, 459.2192,
2903, 463.4561, 475.4312, 484.2141, 490.2469, 504.5528, 508.3526,
2904, 512.7941, 521.592, 530.1706, 538.3766, 548.1004, 555.1611,
2905, 560.6921, 569.6661, 583.6237, 588.2906, 592.6332, 600.892,
2906, 610.6862, 622.2227, 627.9711, 637.363, 5.172801, 10.68415,
2907, 18.47832, 25.5904, 34.06554, 42.60032, 54.39576, 60.85059,
2908, 68.70143, 78.09282, 80.56531, 89.09126, 96.12488, 104.3419,
2909, 112.386, 119.7784, 127.785, 137.5188, 146.625, 154.237,
2910, 162.0459, 169.8433, 179.6328, 186.157, 194.1699, 200.823,
2911, 208.3037, 217.6687, 226.2448, 233.4324, 241.2955, 249.9852,
2912, 261.5715, 264.2189, 275.9503, 280.4721, 286.8068, 297.1756,
2913, 305.5925, 313.2132, 322.9792, 333.4794, 338.295, 348.5197,
2914, 357.6039, 360.0509, 370.413, 377.3586, 385.849, 397.9684,
2915, 407.2061, 414.4471, 421.2321, 426.7787, 435.4346, 443.67,
2916, 451.3443, 459.463, 463.9656, 474.0399, 483.1176, 489.4074,
2917, 500.808, 508.3865, 514.4608, 521.5742, 528.8039, 537.6946,
2918, 545.3601, 554.6035, 564.754, 570.3533, 579.0904, 588.1455,
2919, 594.9323, 602.3158, 613.3271, 621.3787, 623.6528, 637.5396,
2920, 5.005546, 10.95917, 18.13645, 25.79992, 34.19792, 42.98921,
2921, 55.48702, 60.86337, 68.63759, 78.3737, 81.3865, 89.00339,
2922, 96.048, 104.0611, 112.3661, 119.9413, 127.4887, 138.4268,
2923, 146.9056, 153.8054, 160.6163, 168.2191, 178.6221, 186.7794,
2924, 193.8971, 200.9346, 208.9682, 219.0069, 227.2723, 232.4355,
2925, 239.9031, 250.2262, 259.5549, 264.6566, 275.3929, 280.1398,
2926, 286.5043, 296.7058, 305.002, 313.4618, 322.2505, 332.7013,
2927, 341.5797, 346.7438, 358.6092, 361.5132, 371.2226, 381.0062,
2928, 387.7879, 394.4299, 408.0857, 414.1394, 420.4744, 427.0193,
2929, 435.7069, 441.4422, 450.3813, 459.6387, 463.1494, 474.1165,
2930, 482.5173, 488.7313, 499.3017, 508.5823, 514.1609, 521.0368,
2931, 529.1881, 537.8198, 546.1999, 554.215, 563.95, 571.3589,
2932, 578.7813, 588.7462, 595.3157, 601.9963, 612.5288, 620.9011,
2933, 623.0326, 637.1496, 4.122959, 11.55505, 17.76477, 26.32501,
2934, 35.24625, 43.03085, 54.54133, 59.91616, 67.76488, 77.64514,
2935, 81.56448, 87.78027, 95.03386, 103.3706, 111.7103, 118.9236,
2936, 128.1201, 136.6016, 144.5626, 152.1449, 160.316, 168.7409,
2937, 177.1997, 186.6958, 193.3803, 200.7554, 208.6077, 220.9895,
2938, 228.6626, 232.8921, 239.65, 250.8275, 257.2753, 265.4207,
2939, 273.8533, 279.5846, 286.2309, 295.3588, 303.2586, 313.0104,
2940, 323.1535, 330.8961, 341.3019, 349.0432, 355.1519, 362.6834,
2941, 371.8454, 379.2488, 387.4091, 394.2201, 407.5497, 413.7661,
2942, 419.6446, 427.7537, 435.4185, 439.8344, 447.5551, 459.7744,
2943, 463.5687, 473.064, 483.6173, 489.8005, 498.8857, 506.263,
2944, 513.2212, 520.4559, 528.6339, 538.7794, 546.5313, 553.8883,
2945, 563.7371, 571.4443, 579.2409, 591.5322, 594.9448, 602.2,
2946, 608.9924, 620.5148, 626.7519, 636.4987, 2.998777, 11.26831,
2947, 17.08755, 27.46279, 35.8527, 45.25722, 53.52659, 60.40711,
2948, 69.38958, 77.85463, 83.22607, 87.82092, 95.23499, 104.2601,
2949, 112.6208, 120.5167, 127.5621, 135.4195, 143.7694, 151.2339,
2950, 159.7056, 168.032, 176.0426, 185.4521, 193.1896, 200.5509,
2951, 208.3447, 222.6607, 230.882, 232.704, 241.0763, 251.5539,
2952, 255.9556, 264.4422, 272.4589, 278.826, 286.0959, 294.2356,
2953, 302.4685, 313.0239, 323.6022, 330.3971, 339.9653, 350.4695,
2954, 354.9711, 369.4834, 375.3669, 378.231, 383.4685, 393.1325,
2955, 405.998, 413.5226, 419.5127, 425.0015, 434.6313, 441.9631,
2956, 448.7427, 459.0454, 463.2849, 472.231, 483.5159, 489.6266,
2957, 497.2878, 504.6577, 512.8438, 520.8959, 528.4326, 537.3828,
2958, 546.4747, 556.1257, 565.0283, 571.6134, 580.6551, 588.9586,
2959, 595.2149, 605.1207, 608.1488, 619.2773, 627.5656, 635.7084,
2960, 3.433106, 10.95509, 14.73494, 27.56201, 35.86401, 44.22717,
2961, 51.71818, 64.96593, 69.76712, 76.10159, 83.30517, 87.56684,
2962, 95.96339, 105.3583, 116.0694, 119.5553, 126.6922, 135.2208,
2963, 143.6597, 151.4847, 159.8852, 168.3801, 176.2049, 185.6851,
2964, 193.6563, 200.7406, 208.5433, 221.0948, 230.3411, 233.813,
2965, 241.0598, 250.6324, 256.2574, 264.4217, 272.1542, 278.9286,
2966, 286.6411, 294.4843, 302.4137, 312.992, 324.4052, 330.6619,
2967, 338.5967, 349.6732, 355.4202, 369.8222, 375.8877, 377.5602,
2968, 381.9191, 391.8357, 400.7238, 412.1359, 420.8072, 426.1469,
2969, 431.5495, 441.1689, 450.0084, 459.5896, 464.4419, 472.9932,
2970, 483.4934, 490.3387, 497.219, 504.7609, 513.2106, 521.2402,
2971, 528.8998, 538.1354, 545.9554, 554.8039, 564.6014, 571.6373,
2972, 582.4531, 588.0829, 596.0896, 605.4009, 606.6327, 620.343,
2973, 629.4229, 635.158, 3.795277, 12.1548, 15.04198, 24.55407,
2974, 35.35925, 42.73618, 51.04675, 62.11395, 70.8138, 75.6709,
2975, 82.36314, 89.23235, 97.32085, 109.2785, 115.9538, 118.8693,
2976, 126.5695, 134.828, 143.4593, 151.5943, 159.9848, 168.0524,
2977, 175.7697, 185.662, 193.6237, 200.6611, 208.6958, 218.6062,
2978, 228.5305, 235.6502, 241.4612, 247.76, 255.989, 265.3265,
2979, 271.9361, 279.0395, 286.903, 294.8835, 302.7149, 314.0046,
2980, 325.4596, 330.3087, 337.521, 348.2014, 356.1105, 367.241,
2981, 375.4789, 379.5251, 382.7501, 391.9688, 402.7646, 409.6637,
2982, 418.6731, 428.6513, 432.9431, 440.8721, 449.621, 458.9518,
2983, 465.367, 474.5728, 483.2785, 490.694, 497.9337, 504.672,
2984, 513.942, 521.0309, 528.6919, 537.9667, 546.7212, 557.7284,
2985, 566.6895, 569.038, 582.1915, 587.5646, 599.8838, 605.1523,
2986, 606.0956, 619.6649, 632.3262, 636.1461, 4.987665, 13.41366,
2987, 15.97668, 24.86539, 34.23336, 41.27591, 51.65748, 60.17164,
2988, 72.64099, 74.83022, 80.24914, 88.91189, 100.2145, 107.5021,
2989, 114.4769, 118.75, 126.4671, 135.1739, 144.1973, 152.1466,
